idx,metrics,AD_type,y_pred,y_true
494,3.257089,OAD,23.152142,91.0
495,2.506339,OAD,40.482407,85.0
496,5.532778,OAD,38.349598,84.0
497,1.5009434,IAD,42.663544,89.0
498,4.3505926,OAD,41.409172,87.0
499,2.0309556,OAD,22.98112,85.0
500,4.2215276,OAD,47.98367,86.0
501,3.420697,OAD,39.94539,68.0
502,5.1106186,OAD,46.181877,60.0
503,6.161559,OAD,46.49064,70.0
504,6.6213927,OAD,54.130814,65.0
505,4.058662,OAD,46.36787,65.0
506,6.4768147,OAD,49.332737,50.0
507,4.7835603,OAD,48.609913,67.0
508,6.5993447,OAD,52.11476,60.0
509,8.04222,OAD,37.38988,82.0
510,5.455748,OAD,39.49776,81.0
511,6.0616646,OAD,30.555387,81.0
512,7.190082,OAD,29.068752,65.0
513,4.652319,OAD,39.75179,68.0
514,4.7347784,OAD,38.30998,51.0
515,3.1237054,OAD,25.751896,52.0
516,4.15173,OAD,37.707596,70.0
517,4.822837,OAD,31.519577,58.0
518,4.0571437,OAD,24.829294,80.0
519,2.56982,OAD,30.909029,80.0
520,4.3216176,OAD,29.021145,60.0
521,2.9829602,OAD,27.39528,60.0
522,3.8178189,OAD,24.394032,60.0
523,3.0186007,OAD,56.84272,28.0
524,4.652181,OAD,66.86387,30.0
525,1.675223,IAD,64.86377,33.0
526,4.0420985,OAD,55.536617,17.0
527,2.905378,OAD,58.589993,7.0
528,2.027329,OAD,64.468025,48.0
529,3.016197,OAD,55.790543,35.0
530,4.892022,OAD,53.850132,40.0
531,2.9415028,OAD,67.1903,53.0
532,4.201455,OAD,53.17628,41.0
533,2.9415028,OAD,67.1903,67.0
534,2.9415028,OAD,67.1903,82.0
535,3.1214242,OAD,70.2356,82.0
536,3.2598298,OAD,71.36889,92.0
537,2.484868,OAD,73.44255,82.0
538,1.8757685,IAD,64.963585,75.0
539,3.5893586,OAD,65.95511,92.0
540,3.5631907,OAD,65.548836,87.0
541,2.09041,OAD,61.825645,77.0
542,3.9356833,OAD,59.207623,84.0
543,4.3578863,OAD,63.171154,73.0
544,3.0724423,OAD,87.473526,94.0
545,4.2856984,OAD,82.06589,95.0
546,2.6448705,OAD,79.167946,82.0
547,6.062901,OAD,64.66139,84.0
548,6.290118,OAD,63.62044,85.0
549,2.9470985,OAD,70.80076,80.0
550,3.3478224,OAD,69.46532,78.0
551,2.6292202,OAD,75.80527,77.0
